,Category_Pair_Name,Count
0,Industrial: Factory Automation & SmartHome: Home Appliances,196
1,Industrial: Power And Energy & SmartHome: Home Appliances,190
2,Industrial: Factory Automation & SmartHome: Home Control And Security,188
3,Industrial: Power And Energy & SmartHome: Home Control And Security,182
4,Mobile: Wearables & SmartHome: Home Control And Security,174
5,Mobile: Wearables & SmartHome: Home Entertainment,173
6,Mobile: Wearables & SmartHome: Home Appliances,170
7,Industrial: Factory Automation & SmartHome: Home Entertainment,170
8,Industrial: Power And Energy & SmartHome: Home Entertainment,169
9,Mobile: Accessories & SmartHome: Home Control And Security,167
10,Mobile: Accessories & SmartHome: Home Appliances,166
