,links
0,https://www.nxp.com/docs/en/data-sheet/MKE02P64M40SF0.pdf?pspll=1
1,https://www.nxp.com/docs/en/data-sheet/MPC8572EEC.pdf?pspll=1
2,https://www.nxp.com/docs/en/data-sheet/S32V234.pdf?pspll=1
3,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/k-series-cortex-m4/k6x-ethernet/kinetis-k60-100-mhz-mixed-signal-integration-microcontrollers-based-on-arm-cortex-m4-core:K60_100?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/K60_100&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
4,https://www.nxp.com/docs/en/data-sheet/MPC8360EEC.pdf?pspll=1
5,https://www.nxp.com/docs/en/data-sheet/MPC8343EAEC.pdf?pspll=1
6,https://www.nxp.com/docs/en/data-sheet/K26P169M180SF5.pdf?pspll=1
7,https://www.nxp.com/docs/en/data-sheet/MPC5744P.pdf?pspll=1
8,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/k-series-cortex-m4/k6x-ethernet/kinetis-k64-120-mhz-256-kb-sram-microcontrollers-mcus-based-on-arm-cortex-m4-core:K64_120?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/K64_120&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
9,https://www.nxp.com/products/processors-and-microcontrollers/power-architecture/mpc5xxx-microcontrollers/ultra-reliable-mpc56xx-mcus/ultra-reliable-32-bit-mcu-for-automotive-adas-and-industrial-ethernet-applications:MPC560xE?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/MPC560xE&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
10,https://www.nxp.com/docs/en/data-sheet/MPC5675K.pdf?pspll=1
11,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/k-series-cortex-m4/k3x-segment-lcd/kinetis-k30-100-mhz-mixed-signal-integration-microcontrollers-mcus-based-on-arm-cortex-m4-core:K30_100?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/K30_100&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
12,https://www.nxp.com/docs/en/data-sheet/K66P144M180SF5V2.pdf?pspll=1
13,https://www.nxp.com/webapp/Download?colCode=DOCSTORE-S32R45-DS&location=null&pspll=1
14,https://www.nxp.com/webapp/Download?colCode=LS2084A&location=null&pspll=1
15,https://www.nxp.com/products/processors-and-microcontrollers/power-architecture/qoriq-communication-processors/p-series/qoriq-p1023-17-low-end-single-and-dual-core-communications-processors-with-data-path:P1023?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/P1023&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
16,https://www.nxp.com/docs/en/data-sheet/MPC8280EC.pdf?pspll=1
17,https://www.nxp.com/docs/en/data-sheet/K80P121M150SF5.pdf?pspll=1
18,https://www.nxp.com/docs/en/data-sheet/MPC8349EAEC.pdf?pspll=1
19,https://www.nxp.com/docs/en/data-sheet/MPC5121E.pdf?pspll=1
20,https://www.nxp.com/docs/en/data-sheet/LPC1850_30_20_10.pdf?pspll=1
21,https://www.nxp.com/docs/en/data-sheet/MPC8548EEC.pdf?pspll=1
22,https://www.nxp.com/products/processors-and-microcontrollers/power-architecture/qoriq-communication-processors/p-series/qoriq-p1025-16-single-and-dual-core-multi-protocol-communications-processors:P1025?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/P1025&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
23,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/k-series-cortex-m4/k5x-measurement/kinetis-k50-100-mhz-usb-microcontrollers-mcus-based-on-arm-cortex-m4-core:K50_100?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/K50_100&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
24,https://www.nxp.com/docs/en/data-sheet/MPC5643L.pdf?pspll=1
25,https://www.nxp.com/webapp/Download?colCode=LX2160&location=null&pspll=1
26,https://www.nxp.com/docs/en/data-sheet/LPC185X_3X_2X_1X.pdf?pspll=1
27,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/k-series-cortex-m4/k2x-usb/kinetis-k22-50-mhz-cost-effective-full-speed-usb-microcontrollers-mcus-based-on-arm-cortex-m4-core:K22_50?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/K22_50&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
28,https://www.nxp.com/docs/en/data-sheet/S32R372DS.pdf?pspll=1
29,https://www.nxp.com/webapp/Download?colCode=LS2088A&location=null&pspll=1
30,https://www.nxp.com/docs/en/data-sheet/LPC435X_3X_2X_1X.pdf?pspll=1
31,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/ke-series-cortex-m4-m0-plus/72mhz-5v-main-stream-cm0-plus-mcu-with-nxp-touch-tsi-and-can-control:KE1xZ?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/KE1xZ&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
32,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/ke-series-cortex-m4-m0-plus/kinetis-ke04-48-mhz-mainstream-microcontrollers-mcus-based-on-arm-cortex-m0-plus-core:KE04?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/KE04&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
33,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/kl-series-cortex-m0-plus/kinetis-kl0x-48-mhz-entry-level-ultra-low-power-microcontrollers-mcus-based-on-arm-cortex-m0-plus-core:KL0x?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/KL0x&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
34,https://www.nxp.com/products/processors-and-microcontrollers/power-architecture/qoriq-communication-processors/p-series/qoriq-p1022-and-p1013-dual-and-single-core-communications-processors:P1022?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/P1022&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
35,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/k-series-cortex-m4/k3x-segment-lcd/kinetis-k30-72-mhz-mixed-signal-integration-microcontrollers-mcus-based-on-arm-cortex-m4-core:K30_72?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/K30_72&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
36,https://www.nxp.com/docs/en/data-sheet/MKE06P80M48SF0.pdf?pspll=1
37,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/k-series-cortex-m4/k7x-graphic-lcd/kinetis-k70-120150-mhz-high-speed-usb-ethernet-ddr-and-anti-tamper-microcontrollers-based-on-arm-cortex-m4-core:K70_120?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/K70_120&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
38,https://www.nxp.com/docs/en/data-sheet/MC9S12XEP100RMV1.pdf?pspll=1
39,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/k-series-cortex-m4/k5x-measurement/kinetis-k53-100-mhz-usb-segment-lcd-ethernet-microcontrollers-mcus-based-on-arm-cortex-m4-core:K53_100?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/K53_100&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
40,https://www.nxp.com/docs/en/data-sheet/MPC5561.pdf?pspll=1
41,https://www.nxp.com/docs/en/data-sheet/MC9S12P128RMV1.pdf?pspll=1
42,https://www.nxp.com/products/processors-and-microcontrollers/power-architecture/qoriq-communication-processors/t-series/qoriq-t4240-t4160-t4080-multicore-communications-processors:T4240?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/T4240&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
43,https://www.nxp.com/docs/en/data-sheet/K32L3A.pdf?pspll=1
44,https://www.nxp.com/docs/en/data-sheet/MPC8272EC.pdf?pspll=1
45,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/k-series-cortex-m4/k6x-ethernet/kinetis-k65-180-mhz-dual-high-speed-full-speed-usbs-2mb-flash-anti-tamper-microcontrollers-mcus-based-on-arm-cortex-m4-core:K65_180?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/K65_180&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
46,https://www.nxp.com/webapp/Download?colCode=LX2162A&location=null&pspll=1
47,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/k-series-cortex-m4/k6x-ethernet/kinetis-k60-61-120150-mhz-mixed-signal-integration-and-anti-tamper-microcontrollers-based-on-arm-cortex-m4-core:K60_120?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/K60_120&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
48,https://www.nxp.com/products/processors-and-microcontrollers/arm-processors/layerscape-processors/layerscape-1043a-and-1023a-processors:LS1043A?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/LS1043A&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
49,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/k-series-cortex-m4/k4x-usb-and-segment-lcd/kinetis-k40-100-mhz-mixed-signal-integration-microcontrollers-mcus-based-on-arm-cortex-m4-core:K40_100?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/K40_100&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
50,https://www.nxp.com/docs/en/data-sheet/MC9S12XHY256RMV1.pdf?pspll=1
51,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/ke-series-cortex-m4-m0-plus/kinetis-ke02-20-mhz-entry-level-microcontrollers-mcus-based-on-arm-cortex-m0-plus-core:KE02?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/KE02&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
