,links
0,https://www.nxp.com/docs/en/data-sheet/MKE02P64M40SF0.pdf?pspll=1
1,https://www.nxp.com/webapp/Download?colCode=S32G2&location=null&pspll=1
2,https://www.nxp.com/products/processors-and-microcontrollers/legacy-mpu-mcus/5xx-controllers/32-bit-microcontrollers:MPC555?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/MPC555&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
3,https://www.nxp.com/docs/en/data-sheet/LPC1769_68_67_66_65_64_63.pdf?pspll=1
4,https://www.nxp.com/products/processors-and-microcontrollers/legacy-mpu-mcus/powerquicc-processors/powerquicc-i-mpc8xx/powerquicc-processor-with-cpm-2-scc-1-smc-10-100-ethernet:MPC853T?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/MPC853T&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
5,https://www.nxp.com/docs/en/data-sheet/MPC8572EEC.pdf?pspll=1
6,https://www.nxp.com/docs/en/data-sheet/LPC43S70.pdf?pspll=1
7,https://www.nxp.com/products/processors-and-microcontrollers/legacy-mpu-mcus/mpc55xx-mcus/32-bit-mcu-for-low-end-automotive-powertrain-applications:MPC5534?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/MPC5534&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
8,https://www.nxp.com/products/processors-and-microcontrollers/additional-mpu-mcus-architectures/16-bit-s12-and-s12x-mcus/s12e-automotive-and-industrial-microcontrollers-mcus:S12E?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/S12E&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
9,https://www.nxp.com/docs/en/data-sheet/MC9S08SV16.pdf?pspll=1
10,https://www.nxp.com/docs/en/data-sheet/MPC8536EEC.pdf?pspll=1
11,https://www.nxp.com/docs/en/data-sheet/S32V234.pdf?pspll=1
12,https://www.nxp.com/products/processors-and-microcontrollers/arm-processors/layerscape-processors/layerscape-1028a-applications-processor:LS1028A?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/LS1028A&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
13,https://www.nxp.com/docs/en/data-sheet/LPC43S5X_S3X.pdf?pspll=1
14,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/k-series-cortex-m4/k6x-ethernet/kinetis-k60-100-mhz-mixed-signal-integration-microcontrollers-based-on-arm-cortex-m4-core:K60_100?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/K60_100&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
15,https://www.nxp.com/docs/en/data-sheet/mac7200rm.pdf?pspll=1
16,https://www.nxp.com/products/processors-and-microcontrollers/power-architecture/mpc5xxx-microcontrollers/ultra-reliable-mpc56xx-mcus/ultra-reliable-mpc564xb-c-mcu-for-automotive-industrial-control-applications:MPC564xB-C?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/MPC564xB-C&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
17,https://www.nxp.com/products/processors-and-microcontrollers/arm-processors/i-mx-applications-processors/i-mx28-processors/multimedia-applications-processors-dual-ethernet-dual-can-lcd-touch-screen-arm9-core:i.MX287?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/i.MX287&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
18,https://www.nxp.com/docs/en/data-sheet/S32K-DS.pdf?pspll=1
19,https://www.nxp.com/products/processors-and-microcontrollers/additional-mpu-mcus-architectures/16-bit-s12-and-s12x-mcus/s12b-automotive-and-industrial-microcontrollers-mcus:S12B?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/S12B&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
