,links
0,https://www.nxp.com/webapp/Download?colCode=S32G2&location=null&pspll=1
1,https://www.nxp.com/products/processors-and-microcontrollers/arm-processors/layerscape-processors/layerscape-1028a-applications-processor:LS1028A?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/LS1028A&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
2,https://www.nxp.com/products/processors-and-microcontrollers/power-architecture/mpc5xxx-microcontrollers/ultra-reliable-mpc56xx-mcus/ultra-reliable-mpc564xb-c-mcu-for-automotive-industrial-control-applications:MPC564xB-C?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/MPC564xB-C&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
3,https://www.nxp.com/products/processors-and-microcontrollers/power-architecture/mpc5xxx-microcontrollers/ultra-reliable-mpc56xx-mcus/ultra-reliable-mpc56xb-mcu-for-automotive-and-industrial-general-purpose:MPC560xB?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/MPC560xB&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
4,https://www.nxp.com/docs/en/data-sheet/MPC8272EC.pdf?pspll=1
5,https://www.nxp.com/docs/en/data-sheet/MPC8548EEC.pdf?pspll=1
6,https://www.nxp.com/products/processors-and-microcontrollers/arm-processors/layerscape-processors/layerscape-1043a-and-1023a-processors:LS1043A?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/LS1043A&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
7,https://www.nxp.com/docs/en/data-sheet/MC9S12GRMV1.pdf?pspll=1
8,https://www.nxp.com/webapp/Download?colCode=LX2160&location=null&pspll=1
9,https://www.nxp.com/products/processors-and-microcontrollers/additional-mpu-mcus-architectures/16-bit-s12-and-s12x-mcus/s12xd-automotive-and-industrial-microcontrollers-mcus:S12XD?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/S12XD&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
10,https://www.nxp.com/docs/en/data-sheet/MPC8323EEC.pdf?pspll=1
11,https://www.nxp.com/docs/en/data-sheet/MPC8343EAEC.pdf?pspll=1
12,https://www.nxp.com/products/processors-and-microcontrollers/legacy-mpu-mcus/powerquicc-processors/powerquicc-i-mpc8xx/powerquicc-processor-with-cpm-4-scc-2-smc-10-100-ethernet:MPC866?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/MPC866&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
13,https://www.nxp.com/docs/en/data-sheet/MPC5668x.pdf?pspll=1
14,https://www.nxp.com/products/processors-and-microcontrollers/additional-mpu-mcus-architectures/8-bit-s08-mcus/8-bit-eeprom-with-tsi-for-body-electronics-mcus:S08RN?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/S08RN&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
15,https://www.nxp.com/docs/en/data-sheet/MPC5510.pdf?pspll=1
16,https://www.nxp.com/docs/en/data-sheet/LPC18S5X_S3X.pdf?pspll=1
17,https://www.nxp.com/products/processors-and-microcontrollers/power-architecture/mpc5xxx-microcontrollers/ultra-reliable-mpc57xx-mcus/ultra-reliable-mpc574xb-c-g-mcus-for-automotive-and-industrial-control-and-gateway:MPC574xB-C-G?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/MPC574xB-C-G&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
18,https://www.nxp.com/docs/en/data-sheet/MC9S08LG32.pdf?pspll=1
19,https://www.nxp.com/docs/en/data-sheet/LS1046A.pdf?pspll=1
20,https://www.nxp.com/docs/en/data-sheet/MC9S12XS256RMV1.pdf?pspll=1
21,https://www.nxp.com/docs/en/data-sheet/MPC866EC.pdf?pspll=1
22,https://www.nxp.com/docs/en/data-sheet/MC9S08SC4.pdf?pspll=1
