,links
0,https://www.nxp.com/docs/en/data-sheet/MKE02P64M40SF0.pdf?pspll=1
1,https://www.nxp.com/docs/en/data-sheet/MPC8347EAEC.pdf?pspll=1
2,https://www.nxp.com/docs/en/data-sheet/LPC1769_68_67_66_65_64_63.pdf?pspll=1
3,https://www.nxp.com/products/processors-and-microcontrollers/legacy-mpu-mcus/powerquicc-processors/powerquicc-i-mpc8xx/powerquicc-processor-with-cpm-2-scc-1-smc-10-100-ethernet:MPC853T?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/MPC853T&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
4,https://www.nxp.com/docs/en/data-sheet/MPC8572EEC.pdf?pspll=1
5,https://www.nxp.com/docs/en/data-sheet/MPC8315EEC.pdf?pspll=1
6,https://www.nxp.com/docs/en/data-sheet/LPC43S70.pdf?pspll=1
7,https://www.nxp.com/docs/en/data-sheet/MC9S08SV16.pdf?pspll=1
8,https://www.nxp.com/docs/en/data-sheet/S32V234.pdf?pspll=1
9,https://www.nxp.com/docs/en/data-sheet/LPC43S5X_S3X.pdf?pspll=1
10,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/k-series-cortex-m4/k6x-ethernet/kinetis-k60-100-mhz-mixed-signal-integration-microcontrollers-based-on-arm-cortex-m4-core:K60_100?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/K60_100&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
11,https://www.nxp.com/webapp/Download?colCode=LS1012A&location=null&pspll=1
