,links
0,https://www.nxp.com/docs/en/data-sheet/LPC12D27.pdf?pspll=1
1,https://www.nxp.com/products/processors-and-microcontrollers/power-architecture/qoriq-communication-processors/t-series/qoriq-t4240-t4160-t4080-multicore-communications-processors:T4240?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/T4240&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
2,https://www.nxp.com/docs/en/data-sheet/K32L3A.pdf?pspll=1
3,https://www.nxp.com/docs/en/data-sheet/S32V234.pdf?pspll=1
4,https://www.nxp.com/products/processors-and-microcontrollers/arm-processors/i-mx-applications-processors/i-mx-8-processors/i-mx-8-family-arm-cortex-a53-cortex-a72-virtualization-vision-3d-graphics-4k-video:i.MX8?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/i.MX8&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
5,https://www.nxp.com/docs/en/data-sheet/LPC122X.pdf?pspll=1
6,https://www.nxp.com/docs/en/data-sheet/IMX7SCEC.pdf?pspll=1
7,https://www.nxp.com/docs/en/data-sheet/IMX7DCEC.pdf?pspll=1
8,https://www.nxp.com/docs/en/data-sheet/MC9S08PL16S.pdf?pspll=1
9,https://www.nxp.com/docs/en/data-sheet/S32R274DS.pdf?pspll=1
10,https://www.nxp.com/docs/en/data-sheet/KV5XP144M240.pdf?pspll=1
11,https://www.nxp.com/products/processors-and-microcontrollers/additional-mpu-mcus-architectures/8-bit-s08-mcus/8-bit-5v-cost-effective-mcu-with-eeprom:S08PL?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/S08PL&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
12,https://www.nxp.com/docs/en/data-sheet/S32R372DS.pdf?pspll=1
13,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/kv-series-cortex-m4-m0-plus-m7/kinetis-kv1x-75-mhz-entry-level-3ph-foc-sensorless-motor-control-mcus-based-on-arm-cortex-m0-plus:KV1x?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/KV1x&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
14,https://www.nxp.com/docs/en/data-sheet/MC9S08QL8.pdf?pspll=1
15,https://www.nxp.com/docs/en/data-sheet/MC9S08RG60.pdf?pspll=1
16,https://www.nxp.com/docs/en/data-sheet/MC9S08PB16.pdf?pspll=1
17,https://www.nxp.com/products/processors-and-microcontrollers/arm-processors/i-mx-applications-processors/i-mx-7-processors/i-mx-7ulp-family-ultra-low-power-with-graphics:i.MX7ULP?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/i.MX7ULP&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
18,https://www.nxp.com/docs/en/data-sheet/VYBRIDFSERIESEC.pdf?pspll=1
19,https://www.nxp.com/docs/en/data-sheet/KV4XP100M168.pdf?pspll=1
20,https://www.nxp.com/products/processors-and-microcontrollers/arm-microcontrollers/general-purpose-mcus/kv-series-cortex-m4-m0-plus-m7/kinetis-kv3x-100120-mhz-advanced-3ph-foc-sensorless-motor-control-mcus-based-on-arm-cortex-m4:KV3x?tab=Documentation_Tab&pspll=1&SelectedAsset=Documentation&ProdMetaId=PID/DC/KV3x&fromPSP=true&assetLockedForNavigation=true&componentId=2&leftNavCode=1&pageSize=25&Documentation=Documentation/100980000996212993340``Data%20Sheets&linkline=Data%20Sheet&fpsp=1
