,280-290,250-260,230-240,220-230,210-220,200-210,190-200,180-190,170-180,160-170,150-160,140-150,130-140,120-130,110-120,100-110,90-100,80-90,70-80,60-70,50-60,40-50,30-40,20-30,10-20,0-10
0,Industrial_All&Industrial_FactoryAutomation,Automotive_All&Industrial_All,Industrial_All&Industrial_PowerAndEnergy,Industrial_FactoryAutomation&Industrial_PowerAndEnergy,Automotive_All&Industrial_PowerAndEnergy,Industrial_All&SmartHome_HomeAppliances,Industrial_All&SmartCity_All,Industrial_PowerAndEnergy&SmartHome_HomeAppliances,Mobile_All&SmartHome_HomeControlAndSecurity,Mobile_Accessories&Mobile_All,Mobile_Accessories&Mobile_Wearables,Automotive_All&Automotive_PowertrainAndVehicleDynamics ,Industrial_FactoryAutomation&Industrial_Healthcare,Automotive_PowertrainAndVehicleDynamics &Industrial_PowerAndEnergy,Automotive_PowertrainAndVehicleDynamics &SmartHome_HomeAppliances,Industrial_Healthcare&Mobile_All,Automotive_BodyAndComfort&Mobile_Wearables,Industrial_All&SmartCity_Payment,CommunicationInfrastructure_All&CommunicationInfrastructure_WirelessNetworkInfrastructure,CommunicationInfrastructure_WiredNetworkInfrastructure&Industrial_All,SmartCity_Payment&SmartHome_HomeEntertainment,CommunicationInfrastructure_WirelessNetworkInfrastructure&SmartCity_All,CommunicationInfrastructure_All&SmartHome_HomeAppliances,Automotive_All&Industrial_AerospaceAndMobileRobotics,Automotive_BodyAndComfort&CommunicationInfrastructure_All,CommunicationInfrastructure_WiredNetworkInfrastructure&Industrial_AerospaceAndMobileRobotics
1,,,Automotive_All&Industrial_FactoryAutomation,,,,Automotive_All&SmartHome_HomeAppliances,Automotive_All&SmartCity_All,SmartHome_HomeControlAndSecurity&SmartHome_HomeEntertainment,Mobile_Wearables&SmartHome_HomeAppliances,Industrial_PowerAndEnergy&Mobile_Accessories,Automotive_PowertrainAndVehicleDynamics &Industrial_FactoryAutomation,Automotive_All&Industrial_Healthcare,Industrial_Healthcare&Industrial_PowerAndEnergy,Industrial_Healthcare&SmartCity_All,Automotive_PowertrainAndVehicleDynamics &Mobile_Wearables,SmartCity_All&SmartCity_Payment,Automotive_BodyAndComfort&Industrial_Healthcare,Industrial_PowerAndEnergy&SmartCity_Payment,CommunicationInfrastructure_All&Industrial_PowerAndEnergy,Automotive_All&CommunicationInfrastructure_WiredNetworkInfrastructure,CommunicationInfrastructure_WiredNetworkInfrastructure&SmartCity_All,Automotive_ADASAndHighlyAutomatedDriving&Industrial_Healthcare,Automotive_All&CommunicationInfrastructure_EnterpriseNetworking,Automotive_All&SmartCity_Identification,Automotive_VehicleNetworking&CommunicationInfrastructure_WiredNetworkInfrastructure
2,,,,,,,Industrial_FactoryAutomation&SmartHome_HomeAppliances,Industrial_FactoryAutomation&SmartCity_All,Industrial_All&SmartHome_HomeEntertainment,Industrial_FactoryAutomation&SmartHome_HomeEntertainment,Industrial_All&Industrial_Healthcare,Automotive_PowertrainAndVehicleDynamics &Industrial_All,,Automotive_PowertrainAndVehicleDynamics &SmartHome_HomeControlAndSecurity,Automotive_BodyAndComfort&Industrial_PowerAndEnergy,Automotive_BodyAndComfort&Mobile_All,Automotive_BodyAndComfort&Mobile_Accessories,Automotive_All&SmartCity_Payment,Industrial_FactoryAutomation&SmartCity_Payment,CommunicationInfrastructure_All&Industrial_FactoryAutomation,SmartCity_Payment&SmartHome_HomeControlAndSecurity,Automotive_ADASAndHighlyAutomatedDriving&SmartHome_HomeControlAndSecurity,Automotive_ADASAndHighlyAutomatedDriving&Mobile_Accessories,CommunicationInfrastructure_All&Mobile_All,Industrial_All&SmartCity_Identification,CommunicationInfrastructure_EnterpriseNetworking&SmartHome_HomeControlAndSecurity
3,,,,,,,Industrial_All&SmartHome_HomeControlAndSecurity,SmartHome_HomeAppliances&SmartHome_HomeControlAndSecurity,Mobile_All&SmartHome_HomeAppliances,Industrial_All&Mobile_Accessories,Mobile_Wearables&SmartCity_All,,,Automotive_BodyAndComfort&Industrial_All,Automotive_BodyAndComfort&Industrial_FactoryAutomation,Automotive_BodyAndComfort&SmartHome_HomeEntertainment,Automotive_BodyAndComfort&SmartCity_All,,CommunicationInfrastructure_All&Industrial_All,CommunicationInfrastructure_WirelessNetworkInfrastructure&Industrial_FactoryAutomation,Automotive_ADASAndHighlyAutomatedDriving&SmartHome_HomeAppliances,Automotive_ADASAndHighlyAutomatedDriving&Automotive_PowertrainAndVehicleDynamics ,CommunicationInfrastructure_All&SmartCity_Payment,CommunicationInfrastructure_WirelessNetworkInfrastructure&SmartHome_HomeControlAndSecurity,Industrial_PowerAndEnergy&Mobile_Portable,CommunicationInfrastructure_All&SmartCity_Retail
4,,,,,,,,Automotive_All&SmartHome_HomeControlAndSecurity,SmartHome_HomeAppliances&SmartHome_HomeEntertainment,Industrial_PowerAndEnergy&SmartHome_HomeEntertainment,Mobile_Accessories&SmartCity_All,,,Automotive_All&Automotive_BodyAndComfort,Automotive_BodyAndComfort&SmartHome_HomeControlAndSecurity,Automotive_PowertrainAndVehicleDynamics &Mobile_Accessories,,,CommunicationInfrastructure_WirelessNetworkInfrastructure&Industrial_All,Automotive_ADASAndHighlyAutomatedDriving&Industrial_FactoryAutomation,Mobile_All&SmartCity_Payment,SmartCity_All&SmartCity_Retail,CommunicationInfrastructure_WirelessNetworkInfrastructure&SmartHome_HomeAppliances,CommunicationInfrastructure_All&Mobile_Wearables,Mobile_All&Mobile_Portable,Automotive_VehicleNetworking&SmartHome_HomeAppliances
5,,,,,,,,Industrial_FactoryAutomation&SmartHome_HomeControlAndSecurity,Automotive_All&Mobile_All,Automotive_All&Mobile_Wearables,,,,Industrial_Healthcare&SmartHome_HomeAppliances,Industrial_Healthcare&SmartHome_HomeControlAndSecurity,Industrial_Healthcare&Mobile_Wearables,,,Automotive_ADASAndHighlyAutomatedDriving&Automotive_All,SmartCity_Payment&SmartHome_HomeAppliances,Mobile_Wearables&SmartCity_Payment,Industrial_FactoryAutomation&SmartCity_Retail,CommunicationInfrastructure_WirelessNetworkInfrastructure&SmartCity_Payment,CommunicationInfrastructure_WirelessNetworkInfrastructure&Industrial_Healthcare,Mobile_Portable&SmartHome_HomeEntertainment,Automotive_VehicleNetworking&SmartCity_Payment
6,,,,,,,,Industrial_All&Mobile_All,Mobile_All&SmartHome_HomeEntertainment,Mobile_Accessories&SmartHome_HomeControlAndSecurity,,,,,Automotive_PowertrainAndVehicleDynamics &Mobile_All,Industrial_Healthcare&Mobile_Accessories,,,CommunicationInfrastructure_WiredNetworkInfrastructure&CommunicationInfrastructure_WirelessNetworkInfrastructure,CommunicationInfrastructure_WirelessNetworkInfrastructure&Industrial_PowerAndEnergy,Mobile_Accessories&SmartCity_Payment,Automotive_BodyAndComfort&SmartCity_Payment,CommunicationInfrastructure_WiredNetworkInfrastructure&SmartCity_Payment,CommunicationInfrastructure_WiredNetworkInfrastructure&Industrial_Healthcare,Automotive_All&Mobile_Portable,Automotive_BodyAndComfort&Automotive_VehicleNetworking
7,,,,,,,,Industrial_PowerAndEnergy&SmartHome_HomeControlAndSecurity,Industrial_PowerAndEnergy&SmartCity_All,Mobile_Accessories&SmartHome_HomeAppliances,,,,,Automotive_PowertrainAndVehicleDynamics &SmartCity_All,,,,Automotive_BodyAndComfort&Automotive_PowertrainAndVehicleDynamics ,Automotive_All&CommunicationInfrastructure_All,Automotive_ADASAndHighlyAutomatedDriving&SmartCity_All,Automotive_ADASAndHighlyAutomatedDriving&SmartHome_HomeEntertainment,CommunicationInfrastructure_EnterpriseNetworking&Industrial_All,CommunicationInfrastructure_All&Industrial_Healthcare,Automotive_PowertrainAndVehicleDynamics &SmartCity_Retail,Automotive_AutomotiveConnectivity&Mobile_Wearables
8,,,,,,,,,Automotive_All&SmartHome_HomeEntertainment,Automotive_All&Mobile_Accessories,,,,,Automotive_BodyAndComfort&SmartHome_HomeAppliances,,,,CommunicationInfrastructure_All&CommunicationInfrastructure_WiredNetworkInfrastructure,Automotive_ADASAndHighlyAutomatedDriving&Industrial_PowerAndEnergy,Industrial_Healthcare&SmartCity_Payment,Industrial_All&SmartCity_Retail,SmartCity_Retail&SmartHome_HomeControlAndSecurity,Automotive_PowertrainAndVehicleDynamics &CommunicationInfrastructure_All,Automotive_BodyAndComfort&CommunicationInfrastructure_WirelessNetworkInfrastructure,CommunicationInfrastructure_EnterpriseNetworking&Mobile_Accessories
9,,,,,,,,,Industrial_FactoryAutomation&Mobile_All,Mobile_Accessories&SmartHome_HomeEntertainment,,,,,Industrial_Healthcare&SmartHome_HomeEntertainment,,,,Automotive_ADASAndHighlyAutomatedDriving&Industrial_All,CommunicationInfrastructure_WiredNetworkInfrastructure&Industrial_FactoryAutomation,CommunicationInfrastructure_All&SmartCity_All,Automotive_All&SmartCity_Retail,Automotive_PowertrainAndVehicleDynamics &SmartCity_Payment,Mobile_Accessories&SmartCity_Retail,Industrial_PowerAndEnergy&SmartCity_Identification,CommunicationInfrastructure_EnterpriseNetworking&Mobile_All
