Category_Pair_Name,Count
Industrial: Factory Automation & SmartHome: Home Appliances,196
Industrial: Power And Energy & SmartHome: Home Appliances,190
Industrial: Factory Automation & SmartHome: Home Control And Security,188
Industrial: Power And Energy & SmartHome: Home Control And Security,182
Mobile: Wearables & SmartHome: Home Control And Security,174
Mobile: Wearables & SmartHome: Home Entertainment,173
Mobile: Wearables & SmartHome: Home Appliances,170
Industrial: Factory Automation & SmartHome: Home Entertainment,170
Industrial: Power And Energy & SmartHome: Home Entertainment,169
Mobile: Accessories & SmartHome: Home Control And Security,167
Mobile: Accessories & SmartHome: Home Appliances,166
